0.0345	0.0315	0
0.0355	-0.0315	1
0.0355	-0.0305	1
0.0355	-0.0295	1
0.0355	-0.0285	1
0.0355	-0.0275	1
0.0355	-0.0265	1
0.0355	-0.0255	1
0.0355	-0.0245	0
0.0355	-0.0235	0
0.0355	-0.0225	0
0.0355	-0.0215	0
0.0355	-0.0205	0
0.0355	-0.0195	0
0.0355	-0.0185	0
0.0355	-0.0175	0
0.0355	-0.0165	0
0.0355	-0.0155	0
0.0355	-0.0145	0
0.0355	-0.0135	0
0.0355	-0.0125	1
0.0355	-0.0115	1
0.0355	-0.0105	1
0.0355	-0.0095	1
0.0355	-0.0085	0
0.0355	-0.0075	0
0.0355	-0.0065	0
0.0355	-0.0055	0
0.0355	-0.0045	0
0.0355	-0.0035	0
0.0355	-0.0025	0
0.0355	-0.0015	1
0.0355	-0.0005	1
0.0355	0.0005	1
0.0355	0.0015	1
0.0355	0.0025	1
0.0355	0.0035	1
0.0355	0.0045	1
0.0355	0.0055	1
0.0355	0.0065	1
0.0355	0.0075	1
0.0355	0.0085	1
0.0355	0.0095	1
0.0355	0.0105	1
0.0355	0.0115	1
0.0355	0.0125	1
0.0355	0.0135	1
0.0355	0.0145	1
0.0355	0.0155	1
0.0355	0.0165	1
0.0355	0.0175	1
0.0355	0.0185	1
0.0355	0.0195	1
0.0355	0.0205	1
0.0355	0.0215	1
0.0355	0.0225	1
0.0355	0.0235	1
0.0355	0.0245	1
0.0355	0.0255	1
0.0355	0.0265	0
0.0355	0.0275	0
0.0355	0.0285	0
0.0355	0.0295	0
0.0355	0.0305	0
0.0355	0.0315	0
0.0365	-0.0315	1
0.0365	-0.0305	1
0.0365	-0.0295	1
0.0365	-0.0285	1
0.0365	-0.0275	1
0.0365	-0.0265	1
0.0365	-0.0255	1
0.0365	-0.0245	0
0.0365	-0.0235	0
0.0365	-0.0225	0
0.0365	-0.0215	0
0.0365	-0.0205	0
0.0365	-0.0195	0
0.0365	-0.0185	0
0.0365	-0.0175	0
0.0365	-0.0165	0
0.0365	-0.0155	0
0.0365	-0.0145	0
0.0365	-0.0135	1
0.0365	-0.0125	1
0.0365	-0.0115	1
0.0365	-0.0105	1
0.0365	-0.0095	1
0.0365	-0.0085	1
0.0365	-0.0075	0
0.0365	-0.0065	0
0.0365	-0.0055	0
0.0365	-0.0045	0
0.0365	-0.0035	0
0.0365	-0.0025	0
0.0365	-0.0015	1
0.0365	-0.0005	1
0.0365	0.0005	1
0.0365	0.0015	1
0.0365	0.0025	1
0.0365	0.0035	1
0.0365	0.0045	1
0.0365	0.0055	1
0.0365	0.0065	1
0.0365	0.0075	0
0.0365	0.0085	0
0.0365	0.0095	1
0.0365	0.0105	1
0.0365	0.0115	1
0.0365	0.0125	1
0.0365	0.0135	1
0.0365	0.0145	1
0.0365	0.0155	1
0.0365	0.0165	1
0.0365	0.0175	1
0.0365	0.0185	1
0.0365	0.0195	1
0.0365	0.0205	1
0.0365	0.0215	1
0.0365	0.0225	1
0.0365	0.0235	1
0.0365	0.0245	1
0.0365	0.0255	1
0.0365	0.0265	0
0.0365	0.0275	0
0.0365	0.0285	0
0.0365	0.0295	0
0.0365	0.0305	0
0.0365	0.0315	0
0.0375	-0.0315	1
0.0375	-0.0305	1
0.0375	-0.0295	1
0.0375	-0.0285	1
0.0375	-0.0275	1
0.0375	-0.0265	1
0.0375	-0.0255	1
0.0375	-0.0245	0
0.0375	-0.0235	0
0.0375	-0.0225	0
0.0375	-0.0215	0
0.0375	-0.0205	0
0.0375	-0.0195	0
0.0375	-0.0185	0
0.0375	-0.0175	0
0.0375	-0.0165	0
0.0375	-0.0155	0
0.0375	-0.0145	0
0.0375	-0.0135	1
0.0375	-0.0125	1
0.0375	-0.0115	1
0.0375	-0.0105	1
0.0375	-0.0095	1
0.0375	-0.0085	1
0.0375	-0.0075	0
0.0375	-0.0065	0
0.0375	-0.0055	0
0.0375	-0.0045	0
0.0375	-0.0035	0
0.0375	-0.0025	0
0.0375	-0.0015	1
0.0375	-0.0005	1
0.0375	0.0005	1
0.0375	0.0015	1
0.0375	0.0025	1
0.0375	0.0035	1
0.0375	0.0045	1
0.0375	0.0055	1
0.0375	0.0065	0
0.0375	0.0075	0
0.0375	0.0085	0
0.0375	0.0095	0
0.0375	0.0105	0
0.0375	0.0115	1
0.0375	0.0125	1
0.0375	0.0135	1
0.0375	0.0145	1
0.0375	0.0155	1
0.0375	0.0165	1
0.0375	0.0175	1
0.0375	0.0185	1
0.0375	0.0195	1
0.0375	0.0205	1
0.0375	0.0215	1
0.0375	0.0225	1
0.0375	0.0235	1
0.0375	0.0245	1
0.0375	0.0255	1
0.0375	0.0265	0
0.0375	0.0275	0
0.0375	0.0285	0
0.0375	0.0295	0
0.0375	0.0305	0
0.0375	0.0315	0
0.0385	-0.0315	1
0.0385	-0.0305	1
0.0385	-0.0295	1
0.0385	-0.0285	1
0.0385	-0.0275	1
0.0385	-0.0265	1
0.0385	-0.0255	1
0.0385	-0.0245	0
0.0385	-0.0235	0
0.0385	-0.0225	0
0.0385	-0.0215	0
0.0385	-0.0205	0
0.0385	-0.0195	0
0.0385	-0.0185	0
0.0385	-0.0175	0
0.0385	-0.0165	0
0.0385	-0.0155	0
0.0385	-0.0145	0
0.0385	-0.0135	1
0.0385	-0.0125	1
0.0385	-0.0115	1
0.0385	-0.0105	1
0.0385	-0.0095	1
0.0385	-0.0085	1
0.0385	-0.0075	0
0.0385	-0.0065	0
0.0385	-0.0055	0
0.0385	-0.0045	0
0.0385	-0.0035	0
0.0385	-0.0025	0
0.0385	-0.0015	1
0.0385	-0.0005	1
0.0385	0.0005	1
0.0385	0.0015	1
0.0385	0.0025	1
0.0385	0.0035	1
0.0385	0.0045	1
0.0385	0.0055	1
0.0385	0.0065	0
0.0385	0.0075	0
0.0385	0.0085	0
0.0385	0.0095	0
0.0385	0.0105	0
0.0385	0.0115	0
0.0385	0.0125	1
0.0385	0.0135	1
0.0385	0.0145	1
0.0385	0.0155	1
0.0385	0.0165	1
0.0385	0.0175	1
0.0385	0.0185	1
0.0385	0.0195	1
0.0385	0.0205	1
0.0385	0.0215	1
0.0385	0.0225	1
0.0385	0.0235	1
0.0385	0.0245	1
0.0385	0.0255	1
0.0385	0.0265	0
0.0385	0.0275	0
0.0385	0.0285	0
0.0385	0.0295	0
0.0385	0.0305	0
0.0385	0.0315	0
0.0395	-0.0315	1
0.0395	-0.0305	1
0.0395	-0.0295	1
0.0395	-0.0285	1
0.0395	-0.0275	1
0.0395	-0.0265	1
0.0395	-0.0255	1
0.0395	-0.0245	0
0.0395	-0.0235	0
0.0395	-0.0225	0
0.0395	-0.0215	0
0.0395	-0.0205	0
0.0395	-0.0195	0
0.0395	-0.0185	0
0.0395	-0.0175	0
0.0395	-0.0165	0
0.0395	-0.0155	0
0.0395	-0.0145	0
0.0395	-0.0135	1
0.0395	-0.0125	1
0.0395	-0.0115	1
0.0395	-0.0105	1
0.0395	-0.0095	1
0.0395	-0.0085	1
0.0395	-0.0075	0
0.0395	-0.0065	0
0.0395	-0.0055	0
0.0395	-0.0045	0
0.0395	-0.0035	0
0.0395	-0.0025	1
0.0395	-0.0015	1
0.0395	-0.0005	1
0.0395	0.0005	1
0.0395	0.0015	1
0.0395	0.0025	1
0.0395	0.0035	1
0.0395	0.0045	1
0.0395	0.0055	1
0.0395	0.0065	0
0.0395	0.0075	0
0.0395	0.0085	0
0.0395	0.0095	0
0.0395	0.0105	0
0.0395	0.0115	0
0.0395	0.0125	0
0.0395	0.0135	1
0.0395	0.0145	1
0.0395	0.0155	1
0.0395	0.0165	1
0.0395	0.0175	1
0.0395	0.0185	1
0.0395	0.0195	1
0.0395	0.0205	1
0.0395	0.0215	1
0.0395	0.0225	1
0.0395	0.0235	1
0.0395	0.0245	1
0.0395	0.0255	1
0.0395	0.0265	0
0.0395	0.0275	0
0.0395	0.0285	0
0.0395	0.0295	0
0.0395	0.0305	0
0.0395	0.0315	0
0.0405	-0.0315	1
0.0405	-0.0305	1
0.0405	-0.0295	1
0.0405	-0.0285	1
0.0405	-0.0275	1
0.0405	-0.0265	1
0.0405	-0.0255	1
0.0405	-0.0245	1
0.0405	-0.0235	0
0.0405	-0.0225	0
0.0405	-0.0215	0
0.0405	-0.0205	0
0.0405	-0.0195	0
0.0405	-0.0185	0
0.0405	-0.0175	0
0.0405	-0.0165	0
0.0405	-0.0155	0
0.0405	-0.0145	0
0.0405	-0.0135	1
0.0405	-0.0125	1
0.0405	-0.0115	1
0.0405	-0.0105	1
0.0405	-0.0095	1
0.0405	-0.0085	1
0.0405	-0.0075	1
0.0405	-0.0065	1
0.0405	-0.0055	1
0.0405	-0.0045	1
0.0405	-0.0035	1
0.0405	-0.0025	1
0.0405	-0.0015	1
0.0405	-0.0005	1
0.0405	0.0005	1
0.0405	0.0015	1
0.0405	0.0025	1
0.0405	0.0035	1
0.0405	0.0045	1
0.0405	0.0055	1
0.0405	0.0065	0
0.0405	0.0075	0
0.0405	0.0085	0
0.0405	0.0095	0
0.0405	0.0105	0
0.0405	0.0115	0
0.0405	0.0125	0
0.0405	0.0135	0
0.0405	0.0145	1
0.0405	0.0155	1
0.0405	0.0165	1
0.0405	0.0175	1
0.0405	0.0185	1
0.0405	0.0195	1
0.0405	0.0205	1
0.0405	0.0215	1
0.0405	0.0225	1
0.0405	0.0235	1
0.0405	0.0245	1
0.0405	0.0255	1
0.0405	0.0265	0
0.0405	0.0275	0
0.0405	0.0285	0
0.0405	0.0295	0
0.0405	0.0305	0
0.0405	0.0315	0
0.0415	-0.0315	1
0.0415	-0.0305	1
0.0415	-0.0295	1
0.0415	-0.0285	1
0.0415	-0.0275	1
0.0415	-0.0265	1
0.0415	-0.0255	1
0.0415	-0.0245	1
0.0415	-0.0235	0
0.0415	-0.0225	0
0.0415	-0.0215	0
0.0415	-0.0205	0
0.0415	-0.0195	0
0.0415	-0.0185	0
0.0415	-0.0175	0
0.0415	-0.0165	0
0.0415	-0.0155	0
0.0415	-0.0145	1
0.0415	-0.0135	1
0.0415	-0.0125	1
0.0415	-0.0115	1
0.0415	-0.0105	1
0.0415	-0.0095	1
0.0415	-0.0085	1
0.0415	-0.0075	1
0.0415	-0.0065	1
0.0415	-0.0055	1
0.0415	-0.0045	1
0.0415	-0.0035	1
0.0415	-0.0025	1
0.0415	-0.0015	1
0.0415	-0.0005	1
0.0415	0.0005	1
0.0415	0.0015	1
0.0415	0.0025	1
0.0415	0.0035	1
0.0415	0.0045	1
0.0415	0.0055	1
0.0415	0.0065	0
0.0415	0.0075	0
0.0415	0.0085	0
0.0415	0.0095	0
0.0415	0.0105	0
0.0415	0.0115	0
0.0415	0.0125	0
0.0415	0.0135	0
0.0415	0.0145	0
0.0415	0.0155	1
0.0415	0.0165	1
0.0415	0.0175	1
0.0415	0.0185	1
0.0415	0.0195	1
0.0415	0.0205	1
0.0415	0.0215	1
0.0415	0.0225	1
0.0415	0.0235	1
0.0415	0.0245	1
0.0415	0.0255	1
0.0415	0.0265	0
0.0415	0.0275	0
0.0415	0.0285	0
0.0415	0.0295	0
0.0415	0.0305	0
0.0415	0.0315	0
0.0425	-0.0315	1
0.0425	-0.0305	1
0.0425	-0.0295	1
0.0425	-0.0285	1
0.0425	-0.0275	1
0.0425	-0.0265	1
0.0425	-0.0255	1
0.0425	-0.0245	1
0.0425	-0.0235	1
0.0425	-0.0225	0
0.0425	-0.0215	0
0.0425	-0.0205	0
0.0425	-0.0195	0
0.0425	-0.0185	0
0.0425	-0.0175	0
0.0425	-0.0165	0
0.0425	-0.0155	0
0.0425	-0.0145	1
0.0425	-0.0135	1
0.0425	-0.0125	1
0.0425	-0.0115	1
0.0425	-0.0105	1
0.0425	-0.0095	1
0.0425	-0.0085	1
0.0425	-0.0075	1
0.0425	-0.0065	1
0.0425	-0.0055	1
0.0425	-0.0045	1
0.0425	-0.0035	1
0.0425	-0.0025	1
0.0425	-0.0015	1
0.0425	-0.0005	1
0.0425	0.0005	1
0.0425	0.0015	1
0.0425	0.0025	1
0.0425	0.0035	1
0.0425	0.0045	1
0.0425	0.0055	1
0.0425	0.0065	0
0.0425	0.0075	0
0.0425	0.0085	0
0.0425	0.0095	0
0.0425	0.0105	0
0.0425	0.0115	0
0.0425	0.0125	0
0.0425	0.0135	0
0.0425	0.0145	0
0.0425	0.0155	1
0.0425	0.0165	1
0.0425	0.0175	1
0.0425	0.0185	1
0.0425	0.0195	1
0.0425	0.0205	1
0.0425	0.0215	1
0.0425	0.0225	1
0.0425	0.0235	1
0.0425	0.0245	1
0.0425	0.0255	1
0.0425	0.0265	0
0.0425	0.0275	0
0.0425	0.0285	0
0.0425	0.0295	0
0.0425	0.0305	0
0.0425	0.0315	0
0.0435	-0.0315	1
0.0435	-0.0305	1
0.0435	-0.0295	1
0.0435	-0.0285	1
0.0435	-0.0275	1
0.0435	-0.0265	1
0.0435	-0.0255	1
0.0435	-0.0245	1
0.0435	-0.0235	1
0.0435	-0.0225	1
0.0435	-0.0215	0
0.0435	-0.0205	0
0.0435	-0.0195	0
0.0435	-0.0185	0
0.0435	-0.0175	0
0.0435	-0.0165	0
0.0435	-0.0155	1
0.0435	-0.0145	1
0.0435	-0.0135	1
0.0435	-0.0125	1
0.0435	-0.0115	1
0.0435	-0.0105	1
0.0435	-0.0095	1
0.0435	-0.0085	1
0.0435	-0.0075	1
0.0435	-0.0065	1
0.0435	-0.0055	1
0.0435	-0.0045	1
0.0435	-0.0035	1
0.0435	-0.0025	1
0.0435	-0.0015	1
0.0435	-0.0005	1
0.0435	0.0005	1
0.0435	0.0015	1
0.0435	0.0025	1
0.0435	0.0035	1
0.0435	0.0045	1
0.0435	0.0055	0
0.0435	0.0065	0
0.0435	0.0075	0
0.0435	0.0085	0
0.0435	0.0095	0
0.0435	0.0105	0
0.0435	0.0115	0
0.0435	0.0125	0
0.0435	0.0135	0
0.0435	0.0145	0
0.0435	0.0155	0
0.0435	0.0165	1
0.0435	0.0175	1
0.0435	0.0185	1
0.0435	0.0195	1
0.0435	0.0205	1
0.0435	0.0215	1
0.0435	0.0225	1
0.0435	0.0235	1
0.0435	0.0245	1
0.0435	0.0255	1
0.0435	0.0265	1
0.0435	0.0275	0
0.0435	0.0285	0
0.0435	0.0295	0
0.0435	0.0305	0
0.0435	0.0315	0
0.0445	-0.0315	1
0.0445	-0.0305	1
0.0445	-0.0295	1
0.0445	-0.0285	1
0.0445	-0.0275	1
0.0445	-0.0265	1
0.0445	-0.0255	1
0.0445	-0.0245	1
0.0445	-0.0235	1
0.0445	-0.0225	1
0.0445	-0.0215	1
0.0445	-0.0205	0
0.0445	-0.0195	0
0.0445	-0.0185	0
0.0445	-0.0175	0
0.0445	-0.0165	1
0.0445	-0.0155	1
0.0445	-0.0145	1
0.0445	-0.0135	1
0.0445	-0.0125	1
0.0445	-0.0115	1
0.0445	-0.0105	1
0.0445	-0.0095	1
0.0445	-0.0085	1
0.0445	-0.0075	1
0.0445	-0.0065	1
0.0445	-0.0055	0
0.0445	-0.0045	0
0.0445	-0.0035	0
0.0445	-0.0025	0
0.0445	-0.0015	0
0.0445	-0.0005	0
0.0445	0.0005	1
0.0445	0.0015	1
0.0445	0.0025	1
0.0445	0.0035	1
0.0445	0.0045	1
0.0445	0.0055	0
0.0445	0.0065	0
0.0445	0.0075	0
0.0445	0.0085	0
0.0445	0.0095	0
0.0445	0.0105	0
0.0445	0.0115	0
0.0445	0.0125	0
0.0445	0.0135	0
0.0445	0.0145	0
0.0445	0.0155	0
0.0445	0.0165	1
0.0445	0.0175	1
0.0445	0.0185	1
0.0445	0.0195	1
0.0445	0.0205	1
0.0445	0.0215	1
0.0445	0.0225	1
0.0445	0.0235	1
0.0445	0.0245	1
0.0445	0.0255	1
0.0445	0.0265	1
0.0445	0.0275	0
0.0445	0.0285	0
0.0445	0.0295	0
0.0445	0.0305	0
0.0445	0.0315	0
0.0455	-0.0315	1
0.0455	-0.0305	1
0.0455	-0.0295	1
0.0455	-0.0285	1
0.0455	-0.0275	1
0.0455	-0.0265	1
0.0455	-0.0255	1
0.0455	-0.0245	1
0.0455	-0.0235	1
0.0455	-0.0225	1
0.0455	-0.0215	1
0.0455	-0.0205	0
0.0455	-0.0195	0
0.0455	-0.0185	0
0.0455	-0.0175	0
0.0455	-0.0165	1
0.0455	-0.0155	1
0.0455	-0.0145	1
0.0455	-0.0135	1
0.0455	-0.0125	1
0.0455	-0.0115	1
0.0455	-0.0105	1
0.0455	-0.0095	1
0.0455	-0.0085	0
0.0455	-0.0075	0
0.0455	-0.0065	0
0.0455	-0.0055	0
0.0455	-0.0045	0
0.0455	-0.0035	0
0.0455	-0.0025	0
0.0455	-0.0015	0
0.0455	-0.0005	0
0.0455	0.0005	1
0.0455	0.0015	1
0.0455	0.0025	1
0.0455	0.0035	1
0.0455	0.0045	1
0.0455	0.0055	0
0.0455	0.0065	0
0.0455	0.0075	0
0.0455	0.0085	0
0.0455	0.0095	0
0.0455	0.0105	0
0.0455	0.0115	0
0.0455	0.0125	0
0.0455	0.0135	0
0.0455	0.0145	0
0.0455	0.0155	0
0.0455	0.0165	0
0.0455	0.0175	1
0.0455	0.0185	1
0.0455	0.0195	1
0.0455	0.0205	1
0.0455	0.0215	1
0.0455	0.0225	1
0.0455	0.0235	1
0.0455	0.0245	1
0.0455	0.0255	1
0.0455	0.0265	1
0.0455	0.0275	0
0.0455	0.0285	0
0.0455	0.0295	0
0.0455	0.0305	0
0.0455	0.0315	0
0.0465	-0.0315	1
0.0465	-0.0305	1
0.0465	-0.0295	0
0.0465	-0.0285	1
0.0465	-0.0275	1
0.0465	-0.0265	1
0.0465	-0.0255	1
0.0465	-0.0245	1
0.0465	-0.0235	1
0.0465	-0.0225	1
0.0465	-0.0215	1
0.0465	-0.0205	1
0.0465	-0.0195	1
0.0465	-0.0185	1
0.0465	-0.0175	1
0.0465	-0.0165	1
0.0465	-0.0155	1
0.0465	-0.0145	1
0.0465	-0.0135	1
0.0465	-0.0125	1
0.0465	-0.0115	1
0.0465	-0.0105	1
0.0465	-0.0095	1
0.0465	-0.0085	0
0.0465	-0.0075	0
0.0465	-0.0065	0
0.0465	-0.0055	0
0.0465	-0.0045	0
0.0465	-0.0035	0
0.0465	-0.0025	0
0.0465	-0.0015	0
0.0465	-0.0005	0
0.0465	0.0005	0
0.0465	0.0015	1
0.0465	0.0025	1
0.0465	0.0035	1
0.0465	0.0045	1
0.0465	0.0055	0
0.0465	0.0065	0
0.0465	0.0075	0
0.0465	0.0085	0
0.0465	0.0095	0
0.0465	0.0105	0
0.0465	0.0115	0
0.0465	0.0125	0
0.0465	0.0135	0
0.0465	0.0145	0
0.0465	0.0155	0
0.0465	0.0165	0
0.0465	0.0175	1
0.0465	0.0185	1
0.0465	0.0195	1
0.0465	0.0205	1
0.0465	0.0215	1
0.0465	0.0225	1
0.0465	0.0235	1
0.0465	0.0245	1
0.0465	0.0255	1
0.0465	0.0265	1
0.0465	0.0275	1
0.0465	0.0285	0
0.0465	0.0295	0
0.0465	0.0305	0
0.0465	0.0315	0
0.0475	-0.0315	0
0.0475	-0.0305	0
0.0475	-0.0295	0
0.0475	-0.0285	0
0.0475	-0.0275	1
0.0475	-0.0265	1
0.0475	-0.0255	1
0.0475	-0.0245	1
0.0475	-0.0235	1
0.0475	-0.0225	1
0.0475	-0.0215	1
0.0475	-0.0205	1
0.0475	-0.0195	1
0.0475	-0.0185	1
0.0475	-0.0175	1
0.0475	-0.0165	1
0.0475	-0.0155	1
0.0475	-0.0145	1
0.0475	-0.0135	1
0.0475	-0.0125	1
0.0475	-0.0115	1
0.0475	-0.0105	1
0.0475	-0.0095	0
0.0475	-0.0085	0
0.0475	-0.0075	0
0.0475	-0.0065	0
0.0475	-0.0055	0
0.0475	-0.0045	0
0.0475	-0.0035	0
0.0475	-0.0025	0
0.0475	-0.0015	0
0.0475	-0.0005	0
0.0475	0.0005	0
0.0475	0.0015	1
0.0475	0.0025	1
0.0475	0.0035	1
0.0475	0.0045	1
0.0475	0.0055	0
0.0475	0.0065	0
0.0475	0.0075	0
0.0475	0.0085	0
0.0475	0.0095	0
0.0475	0.0105	0
0.0475	0.0115	0
0.0475	0.0125	0
0.0475	0.0135	0
0.0475	0.0145	0
0.0475	0.0155	0
0.0475	0.0165	0
0.0475	0.0175	1
0.0475	0.0185	1
0.0475	0.0195	1
0.0475	0.0205	1
0.0475	0.0215	1
0.0475	0.0225	1
0.0475	0.0235	1
0.0475	0.0245	1
0.0475	0.0255	1
0.0475	0.0265	1
0.0475	0.0275	1
0.0475	0.0285	0
0.0475	0.0295	0
0.0475	0.0305	0
0.0475	0.0315	0
0.0485	-0.0315	0
0.0485	-0.0305	0
0.0485	-0.0295	0
0.0485	-0.0285	0
0.0485	-0.0275	1
0.0485	-0.0265	1
0.0485	-0.0255	1
0.0485	-0.0245	1
0.0485	-0.0235	1
0.0485	-0.0225	1
0.0485	-0.0215	1
0.0485	-0.0205	1
0.0485	-0.0195	1
0.0485	-0.0185	1
0.0485	-0.0175	1
0.0485	-0.0165	1
0.0485	-0.0155	1
0.0485	-0.0145	1
0.0485	-0.0135	1
0.0485	-0.0125	1
0.0485	-0.0115	1
0.0485	-0.0105	1
0.0485	-0.0095	0
0.0485	-0.0085	0
0.0485	-0.0075	0
0.0485	-0.0065	0
0.0485	-0.0055	0
0.0485	-0.0045	0
0.0485	-0.0035	0
0.0485	-0.0025	0
0.0485	-0.0015	0
0.0485	-0.0005	0
0.0485	0.0005	0
0.0485	0.0015	1
0.0485	0.0025	1
0.0485	0.0035	1
0.0485	0.0045	1
0.0485	0.0055	0
0.0485	0.0065	0
0.0485	0.0075	0
0.0485	0.0085	0
0.0485	0.0095	0
0.0485	0.0105	0
0.0485	0.0115	0
0.0485	0.0125	0
0.0485	0.0135	0
0.0485	0.0145	0
0.0485	0.0155	0
0.0485	0.0165	0
0.0485	0.0175	0
0.0485	0.0185	1
0.0485	0.0195	1
0.0485	0.0205	1
0.0485	0.0215	1
0.0485	0.0225	1
0.0485	0.0235	1
0.0485	0.0245	1
0.0485	0.0255	1
0.0485	0.0265	1
0.0485	0.0275	1
0.0485	0.0285	0
0.0485	0.0295	0
0.0485	0.0305	0
0.0485	0.0315	0
0.0495	-0.0315	0
0.0495	-0.0305	0
0.0495	-0.0295	0
0.0495	-0.0285	0
0.0495	-0.0275	0
0.0495	-0.0265	1
0.0495	-0.0255	1
0.0495	-0.0245	1
0.0495	-0.0235	1
0.0495	-0.0225	1
0.0495	-0.0215	1
0.0495	-0.0205	1
0.0495	-0.0195	1
0.0495	-0.0185	1
0.0495	-0.0175	1
0.0495	-0.0165	1
0.0495	-0.0155	1
0.0495	-0.0145	1
0.0495	-0.0135	1
0.0495	-0.0125	1
0.0495	-0.0115	1
0.0495	-0.0105	0
0.0495	-0.0095	0
0.0495	-0.0085	0
0.0495	-0.0075	0
0.0495	-0.0065	0
0.0495	-0.0055	0
0.0495	-0.0045	0
0.0495	-0.0035	0
0.0495	-0.0025	0
0.0495	-0.0015	0
0.0495	-0.0005	0
0.0495	0.0005	0
0.0495	0.0015	0
0.0495	0.0025	1
0.0495	0.0035	1
0.0495	0.0045	1
0.0495	0.0055	0
0.0495	0.0065	0
0.0495	0.0075	0
0.0495	0.0085	0
0.0495	0.0095	0
0.0495	0.0105	0
0.0495	0.0115	0
0.0495	0.0125	0
0.0495	0.0135	0
0.0495	0.0145	0
0.0495	0.0155	0
0.0495	0.0165	0
0.0495	0.0175	0
0.0495	0.0185	1
0.0495	0.0195	1
0.0495	0.0205	1
0.0495	0.0215	1
0.0495	0.0225	1
0.0495	0.0235	1
0.0495	0.0245	1
0.0495	0.0255	1
0.0495	0.0265	1
0.0495	0.0275	1
0.0495	0.0285	1
0.0495	0.0295	0
0.0495	0.0305	0
0.0495	0.0315	0
0.0505	-0.0315	0
0.0505	-0.0305	0
0.0505	-0.0295	0
0.0505	-0.0285	0
0.0505	-0.0275	0
0.0505	-0.0265	0
0.0505	-0.0255	1
0.0505	-0.0245	1
0.0505	-0.0235	1
0.0505	-0.0225	1
0.0505	-0.0215	1
0.0505	-0.0205	1
0.0505	-0.0195	1
0.0505	-0.0185	1
0.0505	-0.0175	1
0.0505	-0.0165	1
0.0505	-0.0155	1
0.0505	-0.0145	1
0.0505	-0.0135	1
0.0505	-0.0125	1
0.0505	-0.0115	1
0.0505	-0.0105	0
0.0505	-0.0095	0
0.0505	-0.0085	0
0.0505	-0.0075	0
0.0505	-0.0065	0
0.0505	-0.0055	0
0.0505	-0.0045	0
0.0505	-0.0035	0
0.0505	-0.0025	0
0.0505	-0.0015	0
0.0505	-0.0005	0
0.0505	0.0005	0
0.0505	0.0015	0
0.0505	0.0025	1
0.0505	0.0035	1
0.0505	0.0045	1
0.0505	0.0055	0
0.0505	0.0065	0
0.0505	0.0075	0
0.0505	0.0085	0
0.0505	0.0095	0
0.0505	0.0105	0
0.0505	0.0115	0
0.0505	0.0125	0
0.0505	0.0135	0
0.0505	0.0145	0
0.0505	0.0155	0
0.0505	0.0165	0
0.0505	0.0175	0
0.0505	0.0185	1
0.0505	0.0195	1
0.0505	0.0205	1
0.0505	0.0215	1
0.0505	0.0225	1
0.0505	0.0235	1
0.0505	0.0245	1
0.0505	0.0255	1
0.0505	0.0265	1
0.0505	0.0275	1
0.0505	0.0285	1
0.0505	0.0295	0
0.0505	0.0305	0
0.0505	0.0315	0
0.0515	-0.0315	0
0.0515	-0.0305	0
0.0515	-0.0295	0
0.0515	-0.0285	0
0.0515	-0.0275	0
0.0515	-0.0265	0
0.0515	-0.0255	0
0.0515	-0.0245	1
0.0515	-0.0235	1
0.0515	-0.0225	1
0.0515	-0.0215	1
0.0515	-0.0205	1
0.0515	-0.0195	1
0.0515	-0.0185	1
0.0515	-0.0175	1
0.0515	-0.0165	1
0.0515	-0.0155	1
0.0515	-0.0145	1
0.0515	-0.0135	1
0.0515	-0.0125	1
0.0515	-0.0115	1
0.0515	-0.0105	0
0.0515	-0.0095	0
0.0515	-0.0085	0
0.0515	-0.0075	0
0.0515	-0.0065	0
0.0515	-0.0055	0
0.0515	-0.0045	0
0.0515	-0.0035	0
0.0515	-0.0025	0
0.0515	-0.0015	0
0.0515	-0.0005	0
0.0515	0.0005	0
0.0515	0.0015	0
0.0515	0.0025	1
0.0515	0.0035	1
0.0515	0.0045	1
0.0515	0.0055	0
0.0515	0.0065	0
0.0515	0.0075	0
0.0515	0.0085	0
0.0515	0.0095	0
0.0515	0.0105	0
0.0515	0.0115	0
0.0515	0.0125	0
0.0515	0.0135	0
0.0515	0.0145	0
0.0515	0.0155	0
0.0515	0.0165	0
0.0515	0.0175	0
0.0515	0.0185	0
0.0515	0.0195	1
0.0515	0.0205	1
0.0515	0.0215	1
0.0515	0.0225	1
0.0515	0.0235	1
0.0515	0.0245	1
0.0515	0.0255	1
0.0515	0.0265	1
0.0515	0.0275	1
0.0515	0.0285	1
0.0515	0.0295	0
0.0515	0.0305	0
0.0515	0.0315	0
0.0525	-0.0315	0
0.0525	-0.0305	0
0.0525	-0.0295	0
0.0525	-0.0285	0
0.0525	-0.0275	0
0.0525	-0.0265	0
0.0525	-0.0255	0
0.0525	-0.0245	1
0.0525	-0.0235	1
0.0525	-0.0225	1
0.0525	-0.0215	1
0.0525	-0.0205	1
0.0525	-0.0195	1
0.0525	-0.0185	1
0.0525	-0.0175	1
0.0525	-0.0165	1
0.0525	-0.0155	1
0.0525	-0.0145	1
0.0525	-0.0135	1
0.0525	-0.0125	1
0.0525	-0.0115	1
0.0525	-0.0105	0
0.0525	-0.0095	0
0.0525	-0.0085	0
0.0525	-0.0075	0
0.0525	-0.0065	0
0.0525	-0.0055	0
0.0525	-0.0045	0
0.0525	-0.0035	0
